Quality;Description;n
193.41855597227777;"[""safety != 'low'""]";1152
193.41855597227777;"[""persons != '2'""]";1152
172.10350285064916;"[""buying != 'vhigh'""]";1296
162.6514738389823;"[""buying != 'high'""]";1296
155.9624186886324;"[""buying != 'low'""]";1296
141.18711021146552;"[""doors != '2'""]";1296
134.36587131839406;"[""lug_boot != 'small'""]";1152
131.18790302631615;"[""doors != '3'""]";1296
128.73994946438108;"[""doors != '5more'""]";1296
128.73994946438108;"[""doors != '4'""]";1296
128.6220587741641;"[""buying != 'med'""]";1296
121.66836136325674;"[""buying == 'med'""]";432
116.01278796855796;"[""buying == 'low'""]";432
114.31076375712811;"[""buying == 'vhigh'""]";432
113.61192330400705;"[""lug_boot != 'med'""]";1152
110.46630815148316;"[""safety == 'high'""]";576
107.05982472079563;"[""lug_boot != 'big'""]";1152
100.23968777496935;"[""persons == '4'""]";576
96.76495620995173;"[""safety != 'med'""]";1152
93.40486481332715;"[""persons == 'more'""]";576
88.19704347643422;"[""safety == 'med'""]";576
87.51048511215691;"[""persons != 'more'""]";1152
83.1399966507026;"[""persons != '4'""]";1152
78.45200987463868;"[""safety != 'high'""]";1152
73.39638389561165;"[""buying == 'high'""]";432
71.79156896701276;"[""lug_boot == 'big'""]";576
63.036837774739105;"[""lug_boot == 'med'""]";576
47.93632347502304;"[""doors == '5more'""]";432
47.93632347502304;"[""doors == '4'""]";432
45.978674868942655;"[""lug_boot == 'small'""]";576
45.42116811194525;"[""doors == '3'""]";432
35.799108114424236;"[""doors == '2'""]";432
0.0;"[""safety == 'low'""]";576
0.0;"[""persons == '2'""]";576
